indicators_harmonized,change in indic name,ga,sua,va,ias,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,usage,ipbes,policy,indic,indic_ext,var_ext,ILK_ext,Categories,Categories_2,Subcategories,Subcategories_2
conservation status of species listed in the cites appendices has stabilized or improved,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,Species conservation,
sustainable use of wild species,,,,,,,,1,,,,,,,1,,1,1,,,,Ecosystem services,,Specific mention of sustainable use of species/ecosystems,
rate of invasive species impact and rate of impact,,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,Invasive alien species,
rate of invasive alien species spread,,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,Invasive alien species,
number of invasive alien species introduction events,,1,,,,,,1,,,,,,,2,1,1,1,1,,,Direct drivers,,Invasive alien species,
fertilizer use,,1,,,,,,1,,,,,,,2,1,1,1,1,,,Direct drivers,,Pollution,
proportion of domestic and industrial wastewater flows safely treated,,,,,,,,1,1,,,,,,2,,1,1,,,,Human assets,,Infrastructure (build-up area),
floating plastic debris density,,,,,,1,,1,,,,,,,2,,1,1,1,,,ecosystems,Direct drivers,State of ecosystems (integrity),Pollution
red list index (impacts of pollution),,1,,,,,,1,,,,,,,2,1,1,1,1,,,biodiversity,Direct drivers,State of biodiversity,Pollution
total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),,,,,,,,1,,,,,,,1,,1,1,,,,Ecosystem services,,Nature contribution,
number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030 which include biodiversity,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
national greenhouse inventories from land use and land use change,,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,Climate change,
bioclimatic ecosystem resilience index (beri),,,,,,,,1,,,,,,,1,,1,1,1,,,ecosystems,,State of biodiversity,
"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",,,,,,,,1,,,,,,,1,,1,1,,,,Human assets,Ecosystem services,Infrastructure (build-up area),Specific mention of sustainable use of species/ecosystems
area of forest under sustainable management: total forest management certification by forest stewardship council and programme for the endorsement of forest certification,,1,,,,,,1,,,,,,,2,1,1,1,1,,,Ecosystem services,Governance,Specific mention of sustainable use of species/ecosystems,Nature-based legislation
"average income of small-scale food producers, by sex and indigenous status",,,1,,,,,1,1,,,,,,3,1,1,1,,,,Human assets,,Income,
"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",,,1,,,,,1,1,,,,,,3,1,1,1,,,,Direct drivers,,Natural drivers,
"mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all (wash) services)",,,,,,,,1,1,,,,,,2,,1,1,,,,Human well-being,Direct drivers,Healthy living conditions,Pollution
annual mean levels of fine particulate matter in cities,,,1,,,,,1,1,,,,,,3,1,1,1,,,,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity)
proportion of bodies of water with good ambient water quality,,,1,,,,,1,1,,,,,,3,1,1,1,,,,ecosystems,Human well-being,State of ecosystems,Healthy living conditions
level of water stress,,,,,,1,,1,,,,,,,2,,1,1,1,,,ecosystems,Human well-being,State of ecosystems,Healthy living conditions
recreation and cultural ecosystem services provided,,,,,,,,1,,,,,,,1,,1,1,,,,Human well-being,,Recreation,
number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,Genetic resources,
number of countries with implementation of the system of environmental economic accounting,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based funding,
indicator based on task force for naturerelated financial disclosures,,,,,,,,1,,,,,,,1,,1,1,,,,Human assets,,State of economy,
food waste index,,,1,,,,,1,1,,,,,,3,1,1,1,1,,,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs
material footprint per capita,,,,,,,,1,,,,,,,1,,1,1,,,,Human assets,Direct drivers,State of economy,Specific mention of over-exploitation and unsustainable use of species/ecosystems
global environmental impacts of consumption,,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,Land conversion,
ecological footprint,,1,,1,,1,,1,,,,,,,4,1,1,1,1,,,Direct drivers,,Specific mention of over-exploitation and unsustainable use of species/ecosystems,
species status index,,1,,,,,,1,,,,,,,2,1,1,1,1,,,biodiversity,,State of biodiversity,
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in national education policies,,,1,1,,,,1,1,,,,,,4,1,1,1,1,,,Human assets,,Specific information on human-nature relationship,
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in curricula,,,1,1,,,,1,1,,,,,,4,1,1,1,1,,,Human assets,,Specific information on human-nature relationship,
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in teacher education,,,1,1,,,,1,1,,,,,,4,1,1,1,1,,,Human assets,,Specific information on human-nature relationship,
extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in student assessment,,,1,1,,,,1,1,,,,,,4,1,1,1,1,,,Human assets,,Information on society and socio-economics,
"proportion of total adult population with secure tenure rights to land with legally recognized documentation, by sex and type of tenure",,,1,,,,,1,1,,,,,,3,1,1,1,,,,Human well-being,,Equity,
"proportion of total adult population with secure tenure rights to land who perceive their rights to land as secure, by sex and type of tenure",,,1,,,,,1,1,,,,,,3,1,1,1,,,,Human well-being,,Equity,
proportion of seats held by women in national parliaments,,,,,,,,1,1,,,,,,2,,1,1,,,,Human well-being,,Equity,
proportion of seats held by women in local governments,,,,,,,,1,1,,,,,,2,,1,1,,,,Human well-being,,Equity,
indicator on national implementation of the gender plan of action,,,,,,,,1,,,,,,,1,,1,1,,,,Human well-being,,Equity,
forest area as a percentage of total land area,,1,1,,,1,,1,1,,,,,,5,1,1,1,1,,,ecosystems,,State of ecosystems (coverage),
forest distribution,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems,
tree cover loss,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,Change in biodiversity,
grassland and savannah extent,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems,
mountain green cover index,,,1,,,,,1,1,,,,,,3,1,1,1,1,,,ecosystems,,State of ecosystems (coverage),
peatland extent and condition,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems (coverage),
"permafrost thickness, depth and extent",,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems,
continuous global mangrove forest area,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems (configuration),
trends in mangrove forest fragmentation,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,Change in ecosystems,State of ecosystems (configuration)
trends in mangrove extent,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,Change in ecosystems,State of ecosystems (coverage)
live coral cover,,1,,,,,,1,,,,,,,2,1,1,1,1,,,biodiversity,,State of biodiversity,
hard coral cover and composition,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,State of biodiversity,
global coral reef extent,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,State of biodiversity,
global seagrass extent (seagrass cover and composition),,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,State of biodiversity,
global saltmarsh extent,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems,
kelp canopy extent,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,State of biodiversity,
macroalgal canopy cover and composition,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,State of biodiversity,
cover of key benthic groups,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,State of biodiversity,
fleshy algae cover,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,State of biodiversity,
wetland extent trends index,,1,,,,,,1,,,,,,,2,1,1,1,1,,,ecosystems,,Change in ecosystems,
change in the extent of inland water ecosystems over time,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems,Change in ecosystems
forest fragmentation index,,,,,,,,1,,,,,,,1,,1,1,1,,,ecosystems,,State of ecosystems,
forest landscape integrity index,,,,,,,,1,,,,,,,1,,1,1,1,,,ecosystems,,State of ecosystems,
biomass of selected natural ecosystems,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems,
global vegetation health products,,,,,,,,1,,,,,,,1,,1,1,,,,Ecosystem services,,Nature contribution,
relative magnitude of fragmentation (rmf),,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems (integrity),
biodiversity intactness index,,1,,1,,1,,1,,,,,,,4,1,1,1,1,,,biodiversity,,State of biodiversity,
ocean health index,,1,,,,1,,1,,,,,,,3,1,1,1,1,,,ecosystems,,State of ecosystems (freshwater/coastal),
extent of physical damage indicator to predominant seafloor habitats physical damage,,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,Land conversion,
river fragmentation index,,,,,,,,1,,,,,,,1,,1,1,1,,,ecosystems,,State of ecosystems (integrity),State of ecosystems (freshwater/coastal)
dendritic connectivity index,,,,,,,,1,,,,,,,1,,1,1,1,,,ecosystems,,State of ecosystems,
percentage of threatened species that are improving in status,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,Species conservation,Change in biodiversity
number of threatened species by species group,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,Species conservation,
wild bird index,,1,,,,,,1,,,,,,,2,1,1,1,1,,,biodiversity,,State of biodiversity,
mean species abundance (msa),,1,,,,,,1,,,,,,,2,1,1,1,1,,,biodiversity,,State of biodiversity,
changes in plankton biomass and abundance,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,Change in biodiversity,
fish abundance and biomass,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,State of biodiversity,
genetic scorecard for wild species,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,Genetic resources,
species richness,,1,,,1,,,1,,,,,,,3,1,1,1,1,1,,biodiversity,,State of biodiversity,
local species richness (predicts),,1,,,,,,1,,,,,,,2,1,1,1,,,,biodiversity,,State of biodiversity,
marine species richness,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,State of biodiversity,
comprehensiveness of conservation of socioeconomically as well as culturally valuable species,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,Human assets,Species conservation,Information on biodiversity
number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,,,1,,,,,1,,,,,,,2,1,1,1,,,,biodiversity,,Genetic resources,
proportion of local breeds classified as being at risk of extinction,,1,1,,,,,1,1,,,,,,4,1,1,1,1,,,biodiversity,,Species conservation,
red list index (wild relatives of farmed and domesticated species),,1,,,,,,1,,,,,,,2,1,1,1,1,,,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
cms connectivity indicator,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,State of biodiversity,
intact wilderness,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems,
loss of phylogenetic diversity,,1,,,,,,1,,,,,,,2,1,1,1,,,,biodiversity,,Genetic diversity,
proportion of populations maintained within species,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,State of biodiversity,
free flowing rivers,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems (freshwater/coastal),
levels of poverty in biodiversity depended communities,,,,,,,,1,,,,,,,1,,1,1,,,,Human assets,,Income,State of economy
number of certified forest areas under sustainable management with verified impacts on biodiversity conservation,,,,,,,,1,,,,,,,1,,1,1,,,,Ecosystem services,,Specific mention of sustainable use of species/ecosystems,
red list index (pollinators),,1,,,,,,1,,,,,,,2,1,1,1,1,,,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
green status index (pollinators),,,,,,,,1,,,,,,,1,,1,1,1,,,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
air quality index,,,,,,1,,1,,,,,,,2,,1,1,1,,,ecosystems,Human well-being,Abiotic conditions,Healthy living conditions
air pollution emissions account,,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,Pollution,
zoonotic disease in wildlife,,,,,,,,1,,,,,,,1,,1,1,,,,Direct drivers,,(Infectious) diseases,
climatic impact index,,1,,,,,,1,,,,,,,2,1,1,1,1,,,Direct drivers,,Climate change,
ocean acidification,,,,,,1,,1,,,,,,,2,,1,1,1,,,Direct drivers,,Pollution,
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),,,1,,,1,,1,1,,,,,,4,1,1,1,1,,,ecosystems,biodiversity,Change in ecosystems,
eflow index,,,,,,,,1,,,,,,,1,,1,1,1,,,ecosystems,,State of ecosystems (freshwater/coastal),
change in the quality of inland water ecosystems over time,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems,Change in ecosystems
change in the quality of coastal water ecosystems over time,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems (freshwater/coastal),Change in ecosystems
level of erosion,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,Direct drivers,State of ecosystems,Natural drivers
biofuel production,,,,,,1,,1,,,,,,,2,,1,1,,1,,Ecosystem services,,Nature contribution,
fish catch potential,,1,,,,,,1,,,,,,,2,1,1,1,,,,Ecosystem services,,Nature contribution,
population involved in hunting and gathering,,,,,,,,1,,,,,,,1,,1,1,,,,Human assets,Ecosystem services,Coverage of basic needs,Nature contribution
"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",,,1,,,,,1,1,,,,,,3,1,1,1,,,,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
forestry production and trade (wood fuel),,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems,
trends in the legal trade of medicinal plants,,,,,,,,1,,,,,,,1,,1,1,,,,Human assets,Ecosystem services,Income,Nature contribution
visitor management assessment,,,,,,,,1,,,,,,,1,,1,1,,,,Knowledge systems,,Information on society and socio-economics,
number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves,,,,,,,,1,,,,,,,1,,1,1,,,,Human well-being,Knowledge systems,Cultural diversity,Information on society and socio-economics
"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves",,,,,,,,1,,,,,,,1,,1,1,,,,Human well-being,Knowledge systems,Cultural diversity,ILK
linguistic diversity index,,1,,,,,,1,,,,,,,2,1,1,1,1,,,Human well-being,,Cultural diversity,
trends of bilinguistic diversity and numbers of speakers of indigenous languages,,,,,,,,1,,,,,,,1,,1,1,,,,Human well-being,Knowledge systems,Cultural diversity,ILK
"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",,,,,,,,1,,,,,,,1,,1,1,1,,,Governance,Human well-being,Legislation/governance,Cultural diversity
cultural vitality index,,,,,,,,1,,,,,,,1,,1,1,1,,,Human well-being,,Cultural diversity,
unesco culture 2030 (multiple indicators),,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,National/international cooperation,
processes and tools to monitor the implementation of a right to a healthy environment,,,,,,,,1,,,,,,,1,,1,1,,,,Human well-being,Governance,Healthy living conditions,Legislation/governance
red list index (internationally traded species),,1,,,,,,1,,,,,,,2,1,1,1,1,,,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,Genetic resources,
total number of internationally recognized certificates of compliance published in the abs clearing-house,,,,,,,,1,,,,,,,1,,1,1,,,,Knowledge systems,,Information on society and socio-economics,
number of checkpoint communiques published in the abs clearing-house,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Legislation/governance,
number of internationally recognized certificates of compliance for non-commercial purposes,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,National/international cooperation,
"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",,,1,,,,,1,1,,,,,,3,1,1,1,,,,Governance,,Nature-based funding,
finance mobilized for capacity-building,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Legislation/governance,
"financial and technical assistance provided in dollars (including through south-south, northsouth and triangular cooperation)",,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Legislation/governance,
"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Legislation/governance,
number of scientists per population,,,,,,,,1,,,,,,,1,,1,1,,,,Knowledge systems,,Information on society and socio-economics,
joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector,,,,,,,,1,,,,,,,1,,1,1,,,,Knowledge systems,,Information on biodiversity,
nationally maintained research vessels,,,,,,,,1,,,,,,,1,,1,1,,,,Knowledge systems,,Information on society and socio-economics,
proportion of total research budget allocated to research in the field of marine technology,,,1,,,,,1,1,,,,,,3,1,1,1,,,,Knowledge systems,,Information on society and socio-economics,
volume of official development assistance flows for scholarships by sector and type of study,,,,,,,,1,1,,,,,,2,,1,1,,,,Human assets,,Coverage of basic needs,
global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,,,,,,,,1,,,,,,,1,,1,1,,,,Human assets,,Information on society and socio-economics,
"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",,,1,,,,,1,1,,,,,,3,1,1,1,,,,Governance,,Nature-based funding,
number of countries using natural capital accounts in planning processes,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based funding,
percentage of spatial plans utilizing information on key biodiversity areas,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
habitat patches located within marine protected areas or integrated coastal zone management (iczm),,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems (marine),
other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
number of countries using ocean accounts in planning processes,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based funding,
proportion of transboundary basin area with an operational arrangement for water cooperation,,,1,,,,,1,1,,,,,,3,1,1,1,,,,Ecosystem services,,Nature contribution,
percent of total land area that is under cultivation,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems,
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation would work here for ips (not necessarily lcs), if spatial planning was substituted for conservation",,,,,,,,1,,,,,,,1,,1,1,,,,Knowledge systems,,Specific information on ILK and IPLC,
habitat distributional range,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems,
"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",,,,,,,,1,,,,,,,1,,1,1,1,,,ecosystems,biodiversity,State of ecosystems,Species conservation
increase in secondary natural forest cover,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,Change in ecosystems,
annual tropical primary tree cover loss,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,Change in ecosystems,
global ecosystem restoration index,,1,,,,,,1,,,,,,,2,1,1,1,1,,,ecosystems,,Area conservation,
percentage of cropped landscapes with at least 10 % natural land,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,State of ecosystems,
status of key biodiversity areas,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,State of biodiversity,
"protected area downgrading, downsizing and degazettement (pd)",,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,Change in ecosystems,
iucn green list of protected and conserved areas,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,Area conservation,
number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,Area conservation,
protected area and oecm management effectiveness (mepca) indicator,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,Governance,Area conservation,Nature-based legislation
protected area isolation index (pai),,,,,,,,1,,,,,,,1,,1,1,1,,,ecosystems,,State of ecosystems (coverage),
protected areas network metric (pronet),,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,Area conservation,
extent to which protected areas and other effective area-based conservation measures (oecms) cover key biodiversity areas that are important for migratory species,,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,biodiversity,State of ecosystems,State of biodiversity
coverage of protected areas and oecms and traditional territories (by governance type),,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,Area conservation,
ramsar management effectiveness tracking tool (r-mett),,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,Area conservation,Species conservation
percentage of biosphere reserves that have a positive conservation outcome and effective management,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,ecosystems,Nature-based legislation,Area conservation
extent of indigenous peoples and local communities lands that have some form of recognition,,,,,,,,1,,,,,,,1,,1,1,,,,Knowledge systems,Human well-being,ILK,Equity
"number of countries implementing national legislation, policies or other measures regarding fpic related to conservation",,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",,,,,,,,1,,,,,,,1,,1,1,,,,ecosystems,,Area conservation,
species threat abatement and restoration metric,,,,,,,,1,,,,,,,1,,1,1,,,,biodiversity,,Species conservation,
changing status of evolutionary distinct and globally endangered species (edge index),,,,,,,,1,,,,,,,1,,1,1,1,,,biodiversity,,State of biodiversity,Change in biodiversity
number of cms daughter agreements,,,,,,,,1,,,,,,,1,,1,1,,,,Governance,,Nature-based legislation,
sustainable watershed and inland fisheries index,,,,,,,,1,,,,,,,1,,1,1,1,,,Ecosystem services,,Specific mention of sustainable use of species/ecosystems,
